conference,url,title,authors,abstract
acl,https://aclanthology.org/P10-1151.pdf,A Transition-Based Parser for 2-Planar Dependency Structures,"Carlos Gómez-Rodríguez,Joakim Nivre",None
acl,https://aclanthology.org/P10-1152.pdf,Viterbi Training for PCFGs: Hardness Results and Competitiveness of Uniform Initialization,"Shay Cohen,Noah A. Smith",None
acl,https://aclanthology.org/P10-1153.pdf,A Generalized-Zero-Preserving Method for Compact Encoding of Concept Lattices,"Matthew Skala,Victoria Krakovna,János Kramár,Gerald Penn",None
acl,https://aclanthology.org/P10-1154.pdf,Knowledge-Rich Word Sense Disambiguation Rivaling Supervised Systems,"Simone Paolo Ponzetto,Roberto Navigli",None
acl,https://aclanthology.org/P10-1155.pdf,All Words Domain Adapted WSD: Finding a Middle Ground between Supervision and Unsupervision,"Mitesh Khapra,Anup Kulkarni,Saurabh Sohoney,Pushpak Bhattacharyya",None
acl,https://aclanthology.org/P10-1156.pdf,Combining Orthogonal Monolingual and Multilingual Sources of Evidence for All Words WSD,"Weiwei Guo,Mona Diab",None
acl,https://aclanthology.org/P10-1157.pdf,Phrase-Based Statistical Language Generation Using Graphical Models and Active Learning,"François Mairesse,Milica Gašić,Filip Jurčíček,Simon Keizer,Blaise Thomson,Kai Yu,Steve Young",None
acl,https://aclanthology.org/P10-1158.pdf,Plot Induction and Evolutionary Search for Story Generation,"Neil McIntyre,Mirella Lapata",None
acl,https://aclanthology.org/P10-1159.pdf,Automated Planning for Situated Natural Language Generation,"Konstantina Garoufi,Alexander Koller",None
acl,https://aclanthology.org/P10-1160.pdf,Beyond NomBank: A Study of Implicit Arguments for Nominal Predicates,"Matthew Gerber,Joyce Chai",None
