conference,url,title,authors,abstract
acl,https://aclanthology.org/P15-1136.pdf,Entity-Centric Coreference Resolution with Model Stacking,"Kevin Clark,Christopher D. Manning",None
acl,https://aclanthology.org/P15-1137.pdf,Learning Anaphoricity and Antecedent Ranking Features for Coreference Resolution,"Sam Wiseman,Alexander M. Rush,Stuart Shieber,Jason Weston",None
acl,https://aclanthology.org/P15-1138.pdf,Transferring Coreference Resolvers with Posterior Regularization,André F. T. Martins,None
acl,https://aclanthology.org/P15-1139.pdf,Tea Party in the House: A Hierarchical Ideal Point Topic Model and Its Application to Republican Legislators in the 112th Congress,"Viet-An Nguyen,Jordan Boyd-Graber,Philip Resnik,Kristina Miler",None
acl,https://aclanthology.org/P15-1140.pdf,"KB-LDA: Jointly Learning a Knowledge Base of Hierarchy, Relations, and Facts","Dana Movshovitz-Attias,William W. Cohen",None
acl,https://aclanthology.org/P15-1141.pdf,A Computationally Efficient Algorithm for Learning Topical Collocation Models,"Zhendong Zhao,Lan Du,Benjamin Börschinger,John K Pate,Massimiliano Ciaramita,Mark Steedman,Mark Johnson",None
acl,https://aclanthology.org/P15-1142.pdf,Compositional Semantic Parsing on Semi-Structured Tables,"Panupong Pasupat,Percy Liang",None
acl,https://aclanthology.org/P15-1143.pdf,Graph parsing with s-graph grammars,"Jonas Groschwitz,Alexander Koller,Christoph Teichmann",None
acl,https://aclanthology.org/P15-1144.pdf,Sparse Overcomplete Word Vector Representations,"Manaal Faruqui,Yulia Tsvetkov,Dani Yogatama,Chris Dyer,Noah A. Smith",None
acl,https://aclanthology.org/P15-1145.pdf,Learning Semantic Word Embeddings based on Ordinal Knowledge Constraints,"Quan Liu,Hui Jiang,Si Wei,Zhen-Hua Ling,Yu Hu",None
acl,https://aclanthology.org/P15-1146.pdf,Adding Semantics to Data-Driven Paraphrasing,"Ellie Pavlick,Johan Bos,Malvina Nissim,Charley Beller,Benjamin Van Durme,Chris Callison-Burch",None
acl,https://aclanthology.org/P15-1147.pdf,Parsing as Reduction,"Daniel Fernández-González,André F. T. Martins",None
acl,https://aclanthology.org/P15-1148.pdf,Optimal Shift-Reduce Constituent Parsing with Structured Perceptron,"Le Quang Thang,Hiroshi Noji,Yusuke Miyao",None
acl,https://aclanthology.org/P15-1149.pdf,"A Data-Driven, Factorization Parser for CCG Dependency Structures","Yantao Du,Weiwei Sun,Xiaojun Wan",None
acl,https://aclanthology.org/P15-1150.pdf,Improved Semantic Representations From Tree-Structured Long Short-Term Memory Networks,"Kai Sheng Tai,Richard Socher,Christopher D. Manning",None
acl,https://aclanthology.org/P15-1151.pdf,genCNN: A Convolutional Architecture for Word Sequence Prediction,"Mingxuan Wang,Zhengdong Lu,Hang Li,Wenbin Jiang,Qun Liu",None
acl,https://aclanthology.org/P15-1152.pdf,Neural Responding Machine for Short-Text Conversation,"Lifeng Shang,Zhengdong Lu,Hang Li",None
acl,https://aclanthology.org/P15-1153.pdf,Abstractive Multi-Document Summarization via Phrase Selection and Merging,"Lidong Bing,Piji Li,Yi Liao,Wai Lam,Weiwei Guo,Rebecca Passonneau",None
acl,https://aclanthology.org/P15-1154.pdf,Joint Graphical Models for Date Selection in Timeline Summarization,"Giang Tran,Eelco Herder,Katja Markert",None
acl,https://aclanthology.org/P15-1155.pdf,Predicting Salient Updates for Disaster Summarization,"Chris Kedzie,Kathleen McKeown,Fernando Diaz",None
acl,https://aclanthology.org/P15-1156.pdf,Unsupervised Prediction of Acceptability Judgements,"Jey Han Lau,Alexander Clark,Shalom Lappin",None
acl,https://aclanthology.org/P15-1157.pdf,A Frame of Mind: Using Statistical Models for Detection of Framing and Agenda Setting Campaigns,"Oren Tsur,Dan Calacci,David Lazer",None
acl,https://aclanthology.org/P15-1158.pdf,Why discourse affects speakers’ choice of referring expressions,"Naho Orita,Eliana Vornov,Naomi Feldman,Hal Daumé III",None
acl,https://aclanthology.org/P15-1159.pdf,Linguistic Harbingers of Betrayal: A Case Study on an Online Strategy Game,"Vlad Niculae,Srijan Kumar,Jordan Boyd-Graber,Cristian Danescu-Niculescu-Mizil",None
acl,https://aclanthology.org/P15-1160.pdf,Who caught a cold ? - Identifying the subject of a symptom,"Shin Kanouchi,Mamoru Komachi,Naoaki Okazaki,Eiji Aramaki,Hiroshi Ishikawa",None
acl,https://aclanthology.org/P15-1161.pdf,Weakly Supervised Role Identification in Teamwork Interactions,"Diyi Yang,Miaomiao Wen,Carolyn Rosé",None
acl,https://aclanthology.org/P15-1162.pdf,Deep Unordered Composition Rivals Syntactic Methods for Text Classification,"Mohit Iyyer,Varun Manjunatha,Jordan Boyd-Graber,Hal Daumé III",None
acl,https://aclanthology.org/P15-1163.pdf,SOLAR: Scalable Online Learning Algorithms for Ranking,"Jialei Wang,Ji Wan,Yongdong Zhang,Steven Hoi",None
acl,https://aclanthology.org/P15-1164.pdf,Text Categorization as a Graph Classification Problem,"François Rousseau,Emmanouil Kiagias,Michalis Vazirgiannis",None
